C:\PCS\PCS64e\Curves\2022'12'26-17'12'20-TupyS-1_3.s2k.out																	
PUP	126.404	1141.54	-0.270288	-0.0147815	-0.000515048	0.700329	0.00269116	2.69905	-0.0202882	0	1.09699	0.601317	0.961769	0.00176518	0.16309	0.394989	-0.50058
																	
C:\PCS\PCS64e\Curves\2022'12'27-01'39'11-TupyS-1_2.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
																	
C:\PCS\PCS64e\Curves\2022'12'27-01'44'23-TupyS-1_2.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
PUP	115.137	1142.05	0.155574	0.0269477	0.00119998	1.02709	0.00490826	3.56663	0.405574	0	0.960004	1.90838	0.518348	0.0222538	0	0.405207	-0.653133
MIN	107.481	1141.5	0	0.0211252	-0.000361898	0.965728	0.0198567	1.37092	0	-0.225038	0	1.82864	-0.985666	0	0	0.752987	0
																	
C:\PCS\PCS64e\Curves\2022'12'27-01'45'47-TupyS-1_3.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	110.165	1142.1	-0.238348	0	-0.00459175	0.741371	0.0178203	1.78324	-0.575225	0	1.7633	1.70685	-0.586521	-0.00275887	-0.72099	0.198576	0
PUP	118.446	1139.81	-0.347135	-0.0159746	0.00114789	0.823834	0.00574227	2.83523	-0.0971351	0	0.970422	1.09534	0.351546	0.00162488	0.0224877	0.723666	-0.232721
																	
C:\PCS\PCS64e\Curves\2022'12'27-01'52'38-TupyS-1_1.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	110.508	1146.98	-0.343377	0	-0.00553338	0.499158	-0.00361478	-3.02348	-2.15066	0	1.38665	0.495788	0.478892	0.331104	-3.04906	-0.516191	0
DN	130.338	1140.95	-0.21646	0	-0.00226896	0.824053	0.0234852	5.631	-0.246894	0	2.69241	2.12026	-1.01139	-0.272644	2.04112	0.308126	0
PUP	135.978	1139.64	-0.271634	-0.00956553	0.00114452	0.918575	0.0148822	1.5949	-0.021634	0	0.971096	1.4743	-1.47644	0.010146	0.229638	0.798603	-0.39081
																	
C:\PCS\PCS64e\Curves\2022'12'27-01'50'38-TupyS-1_4.s2k.out																	
